restaurant_id,restaurant_name,city,cuisine,review_id,text,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_label
23,Cafe's Fast Food Junction,Lucknow,Italian,23_0,Great ambiance and friendly staff. Highly recommend the tacos.,0.8777,0.627,0.0,0.373,Positive
23,Cafe's Fast Food Junction,Lucknow,Italian,23_1,Great ambiance and friendly staff. Highly recommend the burger.,0.8777,0.627,0.0,0.373,Positive
23,Cafe's Fast Food Junction,Lucknow,Italian,23_2,Five stars for the kebab and the warm hospitality.,0.2263,0.192,0.0,0.808,Positive
24,Cafe's Cafe Zone,Bangalore,Italian,24_0,Expected better Italian food. Very underwhelming.,0.4404,0.367,0.0,0.633,Positive
24,Cafe's Cafe Zone,Bangalore,Italian,24_1,Disappointing experience. The paneer tikka was cold and bland.,-0.4939,0.0,0.286,0.714,Negative
24,Cafe's Cafe Zone,Bangalore,Italian,24_2,Five stars for the kebab and the warm hospitality.,0.2263,0.192,0.0,0.808,Positive
25,Classic Delight,Hyderabad,Fast Food,25_0,Expected better Fast Food food. Very underwhelming.,0.4404,0.326,0.0,0.674,Positive
25,Classic Delight,Hyderabad,Fast Food,25_1,Loved the burger. Fresh ingredients and generous portions.,0.8591,0.655,0.0,0.345,Positive
25,Classic Delight,Hyderabad,Fast Food,25_2,Loved the kebab. Fresh ingredients and generous portions.,0.8591,0.655,0.0,0.345,Positive
26,House Corner,Ahmedabad,Biryani,26_0,Average place for a quick meal. tacos was acceptable.,0.3182,0.247,0.0,0.753,Positive
26,House Corner,Ahmedabad,Biryani,26_1,Best Biryani restaurant in Ahmedabad. Worth every rupee!,0.75,0.516,0.0,0.484,Positive
26,House Corner,Ahmedabad,Biryani,26_2,"Decent Biryani food. The butter chicken was okay, nothing extraordinary.",0.2263,0.174,0.0,0.826,Positive
27,Palace's Continental Bites,Jaipur,Continental,27_0,Outstanding quality. The fried rice exceeded my expectations.,0.6124,0.364,0.0,0.636,Positive
27,Palace's Continental Bites,Jaipur,Continental,27_1,Average place for a quick meal. burger was acceptable.,0.3182,0.247,0.0,0.753,Positive
27,Palace's Continental Bites,Jaipur,Continental,27_2,Nothing special but not bad either. Typical Continental fare.,0.4847,0.304,0.131,0.564,Positive
28,Express Kitchen,Ahmedabad,Mexican,28_0,Expected better Mexican food. Very underwhelming.,0.4404,0.367,0.0,0.633,Positive
28,Express Kitchen,Ahmedabad,Mexican,28_1,Excellent service and quick delivery. The fried rice is a must-try.,0.5719,0.291,0.0,0.709,Positive
28,Express Kitchen,Ahmedabad,Mexican,28_2,Cozy place with authentic Mexican flavors. Will visit again!,0.0,0.0,0.0,1.0,Neutral
29,Spice's Thai Junction,Hyderabad,Japanese,29_0,Outstanding quality. The dal makhani exceeded my expectations.,0.6124,0.364,0.0,0.636,Positive
29,Spice's Thai Junction,Hyderabad,Japanese,29_1,Five stars for the dal makhani and the warm hospitality.,0.2263,0.174,0.0,0.826,Positive
29,Spice's Thai Junction,Hyderabad,Japanese,29_2,Nothing special but not bad either. Typical Japanese fare.,0.4847,0.304,0.131,0.564,Positive
30,Fusion's Biryani Zone,Chennai,Street Food,30_0,Expected better Street Food food. Very underwhelming.,0.4404,0.326,0.0,0.674,Positive
30,Fusion's Biryani Zone,Chennai,Street Food,30_1,Not recommended. Found hair in my food during visit.,-0.1511,0.0,0.166,0.834,Negative
30,Fusion's Biryani Zone,Chennai,Street Food,30_2,Not recommended. Found hair in my food during visit.,-0.1511,0.0,0.166,0.834,Negative
31,Cafe's Japanese House,Jaipur,North Indian,31_0,Best North Indian restaurant in Jaipur. Worth every rupee!,0.75,0.477,0.0,0.523,Positive
31,Cafe's Japanese House,Jaipur,North Indian,31_1,Excellent service and quick delivery. The fried rice is a must-try.,0.5719,0.291,0.0,0.709,Positive
31,Cafe's Japanese House,Jaipur,North Indian,31_2,Outstanding quality. The paneer tikka exceeded my expectations.,0.6124,0.364,0.0,0.636,Positive
32,Heritage's Italian Delight,Chennai,Street Food,32_0,Amazing Street Food food! The curry was perfectly cooked and full of flavor.,0.8516,0.43,0.0,0.57,Positive
32,Heritage's Italian Delight,Chennai,Street Food,32_1,Great ambiance and friendly staff. Highly recommend the momos.,0.8777,0.627,0.0,0.373,Positive
32,Heritage's Italian Delight,Chennai,Street Food,32_2,Standard restaurant experience. Prices are reasonable.,0.0,0.0,0.0,1.0,Neutral
33,Flavors's Desserts Junction,Bangalore,Continental,33_0,Long wait times and rude staff. Food quality was mediocre.,-0.4588,0.0,0.25,0.75,Negative
33,Flavors's Desserts Junction,Bangalore,Continental,33_1,Long wait times and rude staff. Food quality was mediocre.,-0.4588,0.0,0.25,0.75,Negative
33,Flavors's Desserts Junction,Bangalore,Continental,33_2,Amazing Continental food! The kebab was perfectly cooked and full of flavor.,0.8516,0.453,0.0,0.547,Positive
34,Kitchen's Thai Kitchen,Hyderabad,South Indian,34_0,Nothing special but not bad either. Typical South Indian fare.,0.4847,0.282,0.122,0.597,Positive
34,Kitchen's Thai Kitchen,Hyderabad,South Indian,34_1,Nothing special but not bad either. Typical South Indian fare.,0.4847,0.282,0.122,0.597,Positive
34,Kitchen's Thai Kitchen,Hyderabad,South Indian,34_2,Five stars for the biryani and the warm hospitality.,0.2263,0.192,0.0,0.808,Positive
35,Cafe's South Indian Corner,Mumbai,Mughlai,35_0,Average at best. There are better Mughlai places in Mumbai.,0.7964,0.47,0.0,0.53,Positive
35,Cafe's South Indian Corner,Mumbai,Mughlai,35_1,Expected better Mughlai food. Very underwhelming.,0.4404,0.367,0.0,0.633,Positive
35,Cafe's South Indian Corner,Mumbai,Mughlai,35_2,Expected better Mughlai food. Very underwhelming.,0.4404,0.367,0.0,0.633,Positive
36,Taste's Fast Food Garden,Chennai,Continental,36_0,Outstanding quality. The paneer tikka exceeded my expectations.,0.6124,0.364,0.0,0.636,Positive
36,Taste's Fast Food Garden,Chennai,Continental,36_1,Loved the burger. Fresh ingredients and generous portions.,0.8591,0.655,0.0,0.345,Positive
36,Taste's Fast Food Garden,Chennai,Continental,36_2,The momos was fine. Ambiance could use some improvement.,0.5859,0.407,0.0,0.593,Positive
37,Flavors's Fast Food Point,Hyderabad,South Indian,37_0,Outstanding quality. The noodles exceeded my expectations.,0.6124,0.4,0.0,0.6,Positive
37,Flavors's Fast Food Point,Hyderabad,South Indian,37_1,Overpriced for the portion size. Not worth visiting again.,-0.1695,0.0,0.172,0.828,Negative
37,Flavors's Fast Food Point,Hyderabad,South Indian,37_2,Loved the kebab. Fresh ingredients and generous portions.,0.8591,0.655,0.0,0.345,Positive
38,Heritage's Mexican Eatery,Pune,Japanese,38_0,Excellent service and quick delivery. The fried rice is a must-try.,0.5719,0.291,0.0,0.709,Positive
38,Heritage's Mexican Eatery,Pune,Japanese,38_1,Loved the noodles. Fresh ingredients and generous portions.,0.8591,0.655,0.0,0.345,Positive
38,Heritage's Mexican Eatery,Pune,Japanese,38_2,Best Japanese restaurant in Pune. Worth every rupee!,0.75,0.516,0.0,0.484,Positive
39,Express's Chinese Express,Lucknow,Street Food,39_0,Cozy place with authentic Street Food flavors. Will visit again!,0.0,0.0,0.0,1.0,Neutral
39,Express's Chinese Express,Lucknow,Street Food,39_1,Best Street Food restaurant in Lucknow. Worth every rupee!,0.75,0.477,0.0,0.523,Positive
39,Express's Chinese Express,Lucknow,Street Food,39_2,Amazing Street Food food! The thali was perfectly cooked and full of flavor.,0.8516,0.43,0.0,0.57,Positive
40,Corner's Cafe Kitchen,Ahmedabad,South Indian,40_0,Amazing South Indian food! The fried rice was perfectly cooked and full of flavor.,0.8516,0.409,0.0,0.591,Positive
40,Corner's Cafe Kitchen,Ahmedabad,South Indian,40_1,Average place for a quick meal. thali was acceptable.,0.3182,0.247,0.0,0.753,Positive
40,Corner's Cafe Kitchen,Ahmedabad,South Indian,40_2,Average place for a quick meal. pizza was acceptable.,0.3182,0.247,0.0,0.753,Positive
41,House's North Indian Express,Mumbai,Chinese,41_0,Five stars for the noodles and the warm hospitality.,0.2263,0.192,0.0,0.808,Positive
41,House's North Indian Express,Mumbai,Chinese,41_1,Not recommended. Found hair in my food during visit.,-0.1511,0.0,0.166,0.834,Negative
41,House's North Indian Express,Mumbai,Chinese,41_2,The fried rice was fine. Ambiance could use some improvement.,0.5859,0.375,0.0,0.625,Positive
42,Corner Express,Lucknow,Desserts,42_0,Long wait times and rude staff. Food quality was mediocre.,-0.4588,0.0,0.25,0.75,Negative
42,Corner Express,Lucknow,Desserts,42_1,Overpriced for the portion size. Not worth visiting again.,-0.1695,0.0,0.172,0.828,Negative
42,Corner Express,Lucknow,Desserts,42_2,Outstanding quality. The sushi exceeded my expectations.,0.6124,0.4,0.0,0.6,Positive
43,Golden Hub,Chennai,Desserts,43_0,Nothing special but not bad either. Typical Desserts fare.,0.4847,0.304,0.131,0.564,Positive
43,Golden Hub,Chennai,Desserts,43_1,The tacos tasted stale. Hygiene standards need improvement.,0.4588,0.3,0.0,0.7,Positive
43,Golden Hub,Chennai,Desserts,43_2,Standard restaurant experience. Prices are reasonable.,0.0,0.0,0.0,1.0,Neutral
44,House's North Indian House,Chennai,Biryani,44_0,Expected better Biryani food. Very underwhelming.,0.4404,0.367,0.0,0.633,Positive
44,House's North Indian House,Chennai,Biryani,44_1,Nothing special but not bad either. Typical Biryani fare.,0.4847,0.304,0.131,0.564,Positive
44,House's North Indian House,Chennai,Biryani,44_2,Disappointing experience. The curry was cold and bland.,-0.4939,0.0,0.314,0.686,Negative
45,Taste's Japanese Bites,Delhi,Italian,45_0,The butter chicken was fine. Ambiance could use some improvement.,0.5859,0.375,0.0,0.625,Positive
45,Taste's Japanese Bites,Delhi,Italian,45_1,Standard restaurant experience. Prices are reasonable.,0.0,0.0,0.0,1.0,Neutral
45,Taste's Japanese Bites,Delhi,Italian,45_2,Average at best. There are better Italian places in Delhi.,0.7964,0.47,0.0,0.53,Positive
46,Royal Zone,Ahmedabad,South Indian,46_0,The pizza was fine. Ambiance could use some improvement.,0.5859,0.407,0.0,0.593,Positive
46,Royal Zone,Ahmedabad,South Indian,46_1,Excellent service and quick delivery. The dal makhani is a must-try.,0.5719,0.291,0.0,0.709,Positive
46,Royal Zone,Ahmedabad,South Indian,46_2,Nothing special but not bad either. Typical South Indian fare.,0.4847,0.282,0.122,0.597,Positive
47,Heritage's Mexican Garden,Chennai,Thai,47_0,Average at best. There are better Thai places in Chennai.,0.7964,0.47,0.0,0.53,Positive
47,Heritage's Mexican Garden,Chennai,Thai,47_1,Cozy place with authentic Thai flavors. Will visit again!,0.0,0.0,0.0,1.0,Neutral
47,Heritage's Mexican Garden,Chennai,Thai,47_2,Disappointing experience. The curry was cold and bland.,-0.4939,0.0,0.314,0.686,Negative
48,Palace's Chinese Lounge,Ahmedabad,Desserts,48_0,Expected better Desserts food. Very underwhelming.,0.4404,0.367,0.0,0.633,Positive
48,Palace's Chinese Lounge,Ahmedabad,Desserts,48_1,Great ambiance and friendly staff. Highly recommend the butter chicken.,0.8777,0.59,0.0,0.41,Positive
48,Palace's Chinese Lounge,Ahmedabad,Desserts,48_2,"Decent Desserts food. The noodles was okay, nothing extraordinary.",0.2263,0.192,0.0,0.808,Positive
49,Classic Kitchen,Ahmedabad,Desserts,49_0,Standard restaurant experience. Prices are reasonable.,0.0,0.0,0.0,1.0,Neutral
49,Classic Kitchen,Ahmedabad,Desserts,49_1,Not recommended. Found hair in my food during visit.,-0.1511,0.0,0.166,0.834,Negative
49,Classic Kitchen,Ahmedabad,Desserts,49_2,Nothing special but not bad either. Typical Desserts fare.,0.4847,0.304,0.131,0.564,Positive
50,Palace's Desserts House,Kolkata,Thai,50_0,Nothing special but not bad either. Typical Thai fare.,0.4847,0.304,0.131,0.564,Positive
50,Palace's Desserts House,Kolkata,Thai,50_1,Average place for a quick meal. curry was acceptable.,0.3182,0.247,0.0,0.753,Positive
50,Palace's Desserts House,Kolkata,Thai,50_2,Five stars for the curry and the warm hospitality.,0.2263,0.192,0.0,0.808,Positive
51,Garden's Mughlai House,Hyderabad,Biryani,51_0,Average place for a quick meal. burger was acceptable.,0.3182,0.247,0.0,0.753,Positive
51,Garden's Mughlai House,Hyderabad,Biryani,51_1,Standard restaurant experience. Prices are reasonable.,0.0,0.0,0.0,1.0,Neutral
51,Garden's Mughlai House,Hyderabad,Biryani,51_2,Standard restaurant experience. Prices are reasonable.,0.0,0.0,0.0,1.0,Neutral
52,Golden's Mughlai House,Ahmedabad,South Indian,52_0,Standard restaurant experience. Prices are reasonable.,0.0,0.0,0.0,1.0,Neutral
52,Golden's Mughlai House,Ahmedabad,South Indian,52_1,Excellent service and quick delivery. The dosa is a must-try.,0.5719,0.316,0.0,0.684,Positive
52,Golden's Mughlai House,Ahmedabad,South Indian,52_2,Five stars for the burger and the warm hospitality.,0.2263,0.192,0.0,0.808,Positive
53,Urban's Desserts Lounge,Jaipur,Japanese,53_0,"Decent Japanese food. The curry was okay, nothing extraordinary.",0.2263,0.192,0.0,0.808,Positive
53,Urban's Desserts Lounge,Jaipur,Japanese,53_1,Excellent service and quick delivery. The dosa is a must-try.,0.5719,0.316,0.0,0.684,Positive
53,Urban's Desserts Lounge,Jaipur,Japanese,53_2,Not recommended. Found hair in my food during visit.,-0.1511,0.0,0.166,0.834,Negative
54,Modern's Chinese World,Chennai,North Indian,54_0,Loved the momos. Fresh ingredients and generous portions.,0.8591,0.655,0.0,0.345,Positive
54,Modern's Chinese World,Chennai,North Indian,54_1,Best North Indian restaurant in Chennai. Worth every rupee!,0.75,0.477,0.0,0.523,Positive
54,Modern's Chinese World,Chennai,North Indian,54_2,Five stars for the sushi and the warm hospitality.,0.2263,0.192,0.0,0.808,Positive
55,Taste's Italian Zone,Hyderabad,Continental,55_0,Nothing special but not bad either. Typical Continental fare.,0.4847,0.304,0.131,0.564,Positive
55,Taste's Italian Zone,Hyderabad,Continental,55_1,Cozy place with authentic Continental flavors. Will visit again!,0.0,0.0,0.0,1.0,Neutral
55,Taste's Italian Zone,Hyderabad,Continental,55_2,Not recommended. Found hair in my food during visit.,-0.1511,0.0,0.166,0.834,Negative
56,Corner's Italian Express,Kolkata,Mughlai,56_0,The kebab was fine. Ambiance could use some improvement.,0.5859,0.407,0.0,0.593,Positive
56,Corner's Italian Express,Kolkata,Mughlai,56_1,Average place for a quick meal. butter chicken was acceptable.,0.3182,0.223,0.0,0.777,Positive
56,Corner's Italian Express,Kolkata,Mughlai,56_2,Amazing Mughlai food! The thali was perfectly cooked and full of flavor.,0.8516,0.453,0.0,0.547,Positive
57,Flavors's Chinese House,Lucknow,Street Food,57_0,Amazing Street Food food! The pasta was perfectly cooked and full of flavor.,0.8516,0.43,0.0,0.57,Positive
57,Flavors's Chinese House,Lucknow,Street Food,57_1,Disappointing experience. The kebab was cold and bland.,-0.4939,0.0,0.314,0.686,Negative
57,Flavors's Chinese House,Lucknow,Street Food,57_2,Overpriced for the portion size. Not worth visiting again.,-0.1695,0.0,0.172,0.828,Negative
58,Golden's Italian Grill,Hyderabad,Chinese,58_0,The thali was fine. Ambiance could use some improvement.,0.5859,0.407,0.0,0.593,Positive
58,Golden's Italian Grill,Hyderabad,Chinese,58_1,The curry was fine. Ambiance could use some improvement.,0.5859,0.407,0.0,0.593,Positive
58,Golden's Italian Grill,Hyderabad,Chinese,58_2,Average place for a quick meal. burger was acceptable.,0.3182,0.247,0.0,0.753,Positive
59,Urban's Biryani Corner,Kolkata,Mughlai,59_0,Great ambiance and friendly staff. Highly recommend the butter chicken.,0.8777,0.59,0.0,0.41,Positive
59,Urban's Biryani Corner,Kolkata,Mughlai,59_1,Excellent service and quick delivery. The fried rice is a must-try.,0.5719,0.291,0.0,0.709,Positive
59,Urban's Biryani Corner,Kolkata,Mughlai,59_2,The paneer tikka was fine. Ambiance could use some improvement.,0.5859,0.375,0.0,0.625,Positive
60,Urban Lounge,Jaipur,Thai,60_0,The fried rice was fine. Ambiance could use some improvement.,0.5859,0.375,0.0,0.625,Positive
60,Urban Lounge,Jaipur,Thai,60_1,Amazing Thai food! The dal makhani was perfectly cooked and full of flavor.,0.8516,0.43,0.0,0.57,Positive
60,Urban Lounge,Jaipur,Thai,60_2,Outstanding quality. The biryani exceeded my expectations.,0.6124,0.4,0.0,0.6,Positive
61,Royal Point,Jaipur,Chinese,61_0,Long wait times and rude staff. Food quality was mediocre.,-0.4588,0.0,0.25,0.75,Negative
61,Royal Point,Jaipur,Chinese,61_1,Average at best. There are better Chinese places in Jaipur.,0.7964,0.47,0.0,0.53,Positive
61,Royal Point,Jaipur,Chinese,61_2,The dal makhani was fine. Ambiance could use some improvement.,0.5859,0.375,0.0,0.625,Positive
62,Royal House,Ahmedabad,Italian,62_0,Excellent service and quick delivery. The momos is a must-try.,0.5719,0.316,0.0,0.684,Positive
62,Royal House,Ahmedabad,Italian,62_1,Average place for a quick meal. tacos was acceptable.,0.3182,0.247,0.0,0.753,Positive
62,Royal House,Ahmedabad,Italian,62_2,Amazing Italian food! The dosa was perfectly cooked and full of flavor.,0.8516,0.453,0.0,0.547,Positive
63,Classic Tales,Bangalore,Street Food,63_0,The tacos tasted stale. Hygiene standards need improvement.,0.4588,0.3,0.0,0.7,Positive
63,Classic Tales,Bangalore,Street Food,63_1,Nothing special but not bad either. Typical Street Food fare.,0.4847,0.282,0.122,0.597,Positive
63,Classic Tales,Bangalore,Street Food,63_2,Best Street Food restaurant in Bangalore. Worth every rupee!,0.75,0.477,0.0,0.523,Positive
64,Corner's Fast Food Zone,Bangalore,South Indian,64_0,Amazing South Indian food! The noodles was perfectly cooked and full of flavor.,0.8516,0.43,0.0,0.57,Positive
64,Corner's Fast Food Zone,Bangalore,South Indian,64_1,Best South Indian restaurant in Bangalore. Worth every rupee!,0.75,0.477,0.0,0.523,Positive
64,Corner's Fast Food Zone,Bangalore,South Indian,64_2,Great ambiance and friendly staff. Highly recommend the dal makhani.,0.8777,0.59,0.0,0.41,Positive
65,Palace's Thai Kitchen,Lucknow,South Indian,65_0,Disappointing experience. The kebab was cold and bland.,-0.4939,0.0,0.314,0.686,Negative
65,Palace's Thai Kitchen,Lucknow,South Indian,65_1,Average place for a quick meal. biryani was acceptable.,0.3182,0.247,0.0,0.753,Positive
65,Palace's Thai Kitchen,Lucknow,South Indian,65_2,Average at best. There are better South Indian places in Lucknow.,0.7964,0.441,0.0,0.559,Positive
66,Express's Italian Eatery,Lucknow,Chinese,66_0,Excellent service and quick delivery. The burger is a must-try.,0.5719,0.316,0.0,0.684,Positive
