restaurant_id,name,city,cuisine,rating,votes,cost_for_two,delivery_time_mins,online_order_pct,table_booking,has_bar,parking_available
106,House's Desserts Express,Bangalore,Thai,3.9,1701,1273,30,0.54,False,True,True
107,Royal Lounge,Mumbai,Biryani,3.7,1599,871,58,0.91,True,False,False
108,Fusion's Thai Zone,Ahmedabad,Thai,3.2,781,956,35,0.77,True,False,True
109,Flavors's Continental Eatery,Jaipur,Thai,3.4,4747,1007,34,0.61,False,False,False
110,Kitchen's Desserts Zone,Pune,Continental,3.8,3912,1076,59,0.77,True,False,False
111,Cafe World,Ahmedabad,Italian,4.3,2147,632,30,0.71,True,False,False
112,Express's Chinese Hub,Bangalore,North Indian,2.6,4260,982,43,0.75,False,False,True
113,Cafe's Cafe Express,Kolkata,Mughlai,3.9,523,722,48,0.49,True,False,False
114,Cafe's Street Food Express,Jaipur,Fast Food,2.8,4135,415,37,0.5,True,False,False
115,Spice's Continental Garden,Hyderabad,Chinese,4.1,3704,1102,41,0.95,False,False,True
116,Urban's Italian Express,Chennai,Thai,3.8,597,1121,31,0.84,True,False,True
117,Golden Lounge,Hyderabad,Chinese,4.2,3345,1259,20,0.72,True,False,False
118,Palace's Cafe Hub,Jaipur,Fast Food,4.3,3345,557,55,0.32,True,False,True
119,Corner Hub,Chennai,Desserts,3.4,2293,515,54,0.43,True,True,True
120,Kitchen Lounge,Bangalore,Street Food,3.6,3895,581,46,0.32,True,False,False
121,Palace Point,Jaipur,Japanese,3.7,823,582,52,0.82,True,False,True
122,Bistro Zone,Hyderabad,Desserts,2.9,3049,635,53,0.34,False,True,False
123,Royal's Desserts Tales,Hyderabad,Street Food,4.2,4842,845,24,0.75,False,True,False
124,Express World,Bangalore,Cafe,4.6,3871,861,21,0.43,False,False,True
125,Palace Point,Hyderabad,Mexican,4.6,2763,1092,23,0.4,False,True,True
126,Heritage's South Indian Eatery,Hyderabad,North Indian,2.9,4263,578,27,0.48,True,False,False
127,Palace's Desserts Lounge,Ahmedabad,Italian,4.3,2636,1259,49,0.34,False,False,True
128,Modern's Italian Junction,Ahmedabad,Street Food,3.2,3077,294,21,0.87,False,False,True
129,Fusion's North Indian Tales,Ahmedabad,Fast Food,2.7,2087,387,34,0.42,False,False,True
130,Heritage's North Indian Story,Jaipur,North Indian,3.2,504,697,38,0.81,False,True,False
131,Fusion's Fast Food Lounge,Lucknow,Cafe,3.7,4369,571,37,0.91,False,False,True
132,Flavors's Mughlai Kitchen,Bangalore,Italian,3.6,768,1214,43,0.75,True,False,False
133,Modern's Desserts Eatery,Mumbai,South Indian,3.6,2241,1622,26,0.63,True,False,True
134,Classic's Mexican Junction,Lucknow,Continental,4.0,784,957,38,0.38,True,False,False
135,Golden's Biryani House,Bangalore,Biryani,3.8,4741,822,23,0.58,True,False,True
136,Modern Kitchen,Lucknow,Japanese,4.0,1558,773,45,0.57,False,True,False
137,Classic Kitchen,Bangalore,Japanese,3.3,4208,1083,57,0.51,False,False,False
138,Modern Story,Ahmedabad,Fast Food,3.5,2962,440,36,0.61,True,False,True
139,Corner's Chinese Eatery,Kolkata,Chinese,4.5,521,793,34,0.76,True,True,True
140,Cafe's Cafe Express,Chennai,North Indian,3.6,2850,909,46,0.51,False,True,False
141,Palace's South Indian Express,Ahmedabad,Biryani,3.6,1746,726,27,0.71,False,True,True
142,Express's Thai Hub,Kolkata,Cafe,5.0,2185,923,40,0.78,True,False,True
143,Taste's Fast Food Corner,Jaipur,Biryani,3.9,684,868,54,0.64,False,True,False
144,Golden's Desserts Lounge,Jaipur,Biryani,3.3,2542,517,32,0.84,False,True,True
145,Urban's Cafe Delight,Bangalore,Thai,4.2,4349,1464,52,0.48,True,False,True
146,House Junction,Delhi,Cafe,4.1,325,980,26,0.5,False,False,False
147,Palace Lounge,Lucknow,Italian,2.7,4518,477,37,0.86,True,False,True
148,Golden's Italian Grill,Ahmedabad,Fast Food,4.6,4144,612,26,0.69,False,True,True
149,Fusion's Biryani House,Chennai,South Indian,2.9,2566,758,40,0.95,True,False,False
150,Corner Bites,Mumbai,Mughlai,4.1,4794,1127,32,0.75,True,True,True
151,Express's Continental Hub,Mumbai,Street Food,2.9,3777,764,57,0.31,False,True,True
152,Modern's Biryani Eatery,Jaipur,Italian,4.3,3222,1018,41,0.41,False,True,False
153,Flavors's Fast Food Garden,Pune,Mughlai,3.4,2117,1015,56,0.66,False,False,True
154,Corner's Mexican Grill,Delhi,Chinese,3.3,4946,1365,59,0.39,False,False,False
155,Palace's Street Food Point,Kolkata,Japanese,4.6,4222,959,33,0.79,True,False,False
156,Royal's Mughlai Lounge,Jaipur,Japanese,4.0,446,894,38,0.4,True,False,True
157,Golden Point,Ahmedabad,North Indian,3.2,1258,927,57,0.45,True,False,True
158,Classic's Continental Corner,Pune,Cafe,4.2,271,543,39,0.68,False,True,True
159,Flavors's Mughlai Grill,Mumbai,North Indian,2.4,118,800,30,0.85,False,False,False
160,Palace Eatery,Bangalore,Cafe,3.9,1256,940,45,0.74,False,True,False
161,Spice Express,Delhi,Chinese,3.7,3088,711,48,0.65,False,False,True
162,Classic's Biryani Junction,Lucknow,Fast Food,4.2,1864,605,53,0.61,True,False,False
163,Garden's Fast Food Express,Kolkata,Thai,4.0,3461,1104,34,0.89,True,True,True
164,Golden's Desserts Express,Kolkata,Japanese,3.3,2548,730,54,0.52,False,True,False
165,Garden's Desserts Story,Hyderabad,North Indian,3.3,158,826,59,0.71,True,False,True
166,Corner's North Indian Zone,Chennai,Chinese,3.3,4590,515,33,0.42,True,False,False
167,Modern's Japanese Hub,Ahmedabad,Mughlai,3.7,3059,938,47,0.5,True,False,True
168,Kitchen's North Indian Lounge,Bangalore,Chinese,2.9,2268,1053,20,0.48,False,False,False
169,Flavors's Biryani Corner,Bangalore,Italian,3.3,2652,1438,48,0.7,False,False,False
170,Bistro Express,Ahmedabad,Street Food,4.5,4909,679,50,0.89,False,False,False
171,Palace's Fast Food Kitchen,Jaipur,Italian,2.4,1459,1158,44,0.86,True,False,False
172,Cafe Zone,Bangalore,Cafe,4.2,3920,905,49,0.59,False,True,False
173,Taste Lounge,Delhi,Italian,3.3,4809,1605,36,0.94,True,False,True
174,Spice's Fast Food Junction,Chennai,Mughlai,3.9,4850,1068,49,0.79,False,False,True
175,Taste Kitchen,Jaipur,Italian,3.5,73,590,31,0.81,True,True,False
176,House's Chinese Bites,Delhi,Italian,3.5,252,1858,59,0.6,False,False,True
177,Classic Spot,Chennai,Mexican,2.7,1247,868,22,0.36,True,True,False
178,Cafe Junction,Jaipur,Italian,3.4,3978,872,52,0.9,False,False,False
179,Taste's Desserts Tales,Mumbai,Thai,4.3,1229,868,22,0.33,True,True,False
180,Kitchen's Italian Grill,Mumbai,Street Food,3.2,1894,1130,47,0.76,False,True,False
181,Cafe Hub,Ahmedabad,Fast Food,4.1,90,678,49,0.82,True,False,True
182,House's Chinese World,Lucknow,Desserts,3.9,3710,676,29,0.7,False,False,False
183,Royal's Street Food Bites,Jaipur,Desserts,3.5,2246,332,58,0.74,False,False,True
184,Palace Delight,Lucknow,Italian,4.1,2597,942,36,0.88,False,True,True
185,Express Junction,Hyderabad,Desserts,4.6,1310,604,36,0.53,True,True,True
186,Bistro's Fast Food Bites,Ahmedabad,Street Food,5.0,4271,646,31,0.68,False,False,False
187,House's Desserts Tales,Delhi,Thai,3.6,617,1037,41,0.42,True,False,True
188,Heritage Lounge,Jaipur,Mexican,4.1,4438,815,33,0.77,False,True,True
189,Fusion's Thai Point,Bangalore,Cafe,4.2,2691,1259,45,0.57,True,True,False
190,Modern Tales,Bangalore,Continental,3.7,1516,834,42,0.95,True,False,True
191,Urban Zone,Kolkata,Mughlai,3.0,3686,807,22,0.89,True,False,False
192,Express's Fast Food House,Bangalore,Italian,4.9,1992,1137,25,0.54,False,True,True
193,Flavors's Japanese Tales,Ahmedabad,Mughlai,3.1,1786,532,42,0.59,True,False,False
194,Taste Point,Chennai,Japanese,3.9,137,1552,33,0.57,False,False,True
195,Golden's Mughlai Eatery,Chennai,Mexican,2.8,4813,1123,40,0.48,True,False,False
196,Spice Bites,Kolkata,Desserts,3.8,2727,579,29,0.51,True,False,True
197,Spice's Biryani Corner,Hyderabad,Mughlai,4.1,1564,921,59,0.68,True,True,True
198,Modern's Mexican Corner,Ahmedabad,Chinese,4.0,3724,433,31,0.46,False,False,False
199,Taste's Mughlai Spot,Kolkata,Fast Food,4.3,928,406,33,0.48,True,False,False
200,Golden's Cafe House,Pune,Continental,4.1,4377,768,51,0.81,True,False,False
201,Spice's Mexican World,Pune,Mughlai,4.3,4311,784,57,0.74,True,False,False
202,Fusion Express,Kolkata,Japanese,3.5,4973,1025,27,0.67,True,True,False
203,Kitchen's Continental Garden,Bangalore,Desserts,4.7,2164,953,32,0.63,True,False,False
204,Classic's Biryani Eatery,Delhi,Continental,3.7,4778,939,21,0.92,True,False,False
205,Fusion's Street Food World,Ahmedabad,Chinese,3.3,1503,442,22,0.34,True,False,False
206,Heritage's Cafe Delight,Delhi,Chinese,3.3,1268,892,40,0.5,False,False,True
207,Garden's Cafe Story,Hyderabad,Italian,3.7,4267,806,45,0.34,False,True,True
208,Garden Bites,Bangalore,Thai,3.2,1953,1103,28,0.5,False,False,False
209,Palace Junction,Mumbai,Japanese,3.7,1191,1567,26,0.37,False,True,False
210,Garden Lounge,Chennai,Continental,3.2,58,744,20,0.63,False,True,False
211,Cafe Corner,Delhi,Continental,3.1,194,1143,36,0.81,True,True,True
212,Taste Zone,Delhi,South Indian,3.2,2185,1126,30,0.51,False,False,True
213,Cafe's Biryani Point,Bangalore,Mughlai,2.4,4575,983,54,0.45,True,True,False
214,Urban's North Indian Grill,Chennai,Desserts,4.0,3432,575,57,0.33,True,False,True
215,House Zone,Bangalore,South Indian,3.1,4326,1169,27,0.33,True,False,False
216,Classic's Biryani Tales,Chennai,Cafe,3.7,794,471,56,0.31,True,False,False
217,Express's Italian Junction,Mumbai,North Indian,4.3,4091,750,26,0.7,False,True,False
218,Express Tales,Delhi,Continental,4.4,597,885,42,0.68,True,False,True
219,Express's Thai World,Delhi,Street Food,2.7,2495,464,31,0.7,False,False,True
220,Urban's Italian Garden,Ahmedabad,South Indian,4.1,4274,921,50,0.86,True,False,True
221,Palace Story,Delhi,Mughlai,3.8,1279,1468,42,0.69,True,False,False
222,Garden's Biryani Junction,Ahmedabad,North Indian,4.9,2299,464,34,0.83,True,True,False
223,Kitchen's Cafe Grill,Hyderabad,Mexican,4.3,2763,1226,24,0.44,True,True,True
224,Bistro Grill,Bangalore,Fast Food,4.2,3023,831,32,0.35,True,False,False
225,Express's Fast Food Corner,Mumbai,Italian,4.0,3692,1368,35,0.41,True,False,False
226,Heritage's Cafe Zone,Kolkata,Italian,3.0,144,1244,48,0.78,True,False,False
227,Taste Tales,Pune,Street Food,4.6,664,734,25,0.38,True,False,True
228,Golden's Chinese House,Bangalore,Biryani,3.9,2989,1136,47,0.41,False,True,True
229,Express Delight,Jaipur,South Indian,3.8,650,904,30,0.31,False,True,False
230,Spice's Thai Story,Pune,Continental,4.9,69,1019,43,0.38,True,False,False
231,House Lounge,Jaipur,Street Food,3.9,500,592,36,0.7,True,False,True
232,Golden's Japanese Corner,Kolkata,Cafe,3.7,2704,793,22,0.69,False,True,False
233,Flavors's Mexican Express,Kolkata,Continental,4.1,1750,1017,59,0.31,False,False,True
234,Spice's Chinese Tales,Ahmedabad,Japanese,4.4,4189,709,29,0.87,True,False,True
235,Heritage Lounge,Delhi,North Indian,3.8,3117,1197,27,0.56,True,False,False
236,Cafe Point,Lucknow,Mughlai,4.0,2790,615,49,0.67,True,False,False
237,Spice House,Hyderabad,South Indian,3.7,3602,1248,25,0.63,True,True,True
238,Fusion's Mughlai Kitchen,Hyderabad,Desserts,3.7,2125,480,51,0.64,False,False,False
239,Royal Tales,Bangalore,Fast Food,3.5,4700,506,50,0.56,True,False,False
240,Fusion Story,Jaipur,Continental,3.9,4453,760,25,0.93,False,True,True
241,Modern's Fast Food Hub,Bangalore,Chinese,3.5,3425,759,56,0.89,True,False,False
242,Golden Story,Pune,Japanese,3.1,4301,979,38,0.78,True,False,True
243,Heritage Grill,Hyderabad,Fast Food,3.8,3247,609,36,0.78,True,False,True
244,Classic Bites,Pune,Biryani,2.2,2609,821,51,0.67,False,True,True
245,Corner Bites,Jaipur,North Indian,3.1,3904,859,47,0.82,False,True,True
246,Urban Delight,Kolkata,Biryani,3.6,4334,451,28,0.78,True,False,False
247,Express's Street Food Delight,Jaipur,Cafe,3.6,1091,809,59,0.77,True,True,True
248,Modern Kitchen,Kolkata,Fast Food,3.7,1916,619,35,0.51,True,False,False
249,Classic's Mexican Spot,Jaipur,Japanese,5.0,2878,967,35,0.69,True,True,False
250,Kitchen's Mughlai Junction,Chennai,Mughlai,3.6,2075,852,38,0.43,True,False,False
251,Golden's Biryani Grill,Delhi,Desserts,3.8,1845,855,50,0.41,True,False,False
252,Spice's Street Food Eatery,Kolkata,South Indian,4.1,698,478,33,0.92,True,True,True
253,Bistro's Japanese Point,Jaipur,Mexican,3.2,1031,485,38,0.87,True,False,False
254,Palace's Mexican Junction,Lucknow,Italian,3.4,3779,766,28,0.42,True,False,True
255,Corner's Street Food Corner,Bangalore,Japanese,3.6,332,1364,38,0.33,True,False,False
256,Garden Tales,Ahmedabad,Cafe,3.2,1334,423,58,0.72,True,False,True
257,Corner Eatery,Chennai,Italian,2.7,4423,760,29,0.49,True,False,False
258,Royal's Thai World,Hyderabad,Mughlai,3.7,1299,757,55,0.89,True,True,False
259,Garden's Cafe Point,Ahmedabad,Biryani,4.4,3089,969,34,0.35,False,False,False
260,Fusion Tales,Bangalore,Continental,4.0,4767,1623,32,0.66,False,False,True
261,Modern's Street Food Lounge,Chennai,Continental,2.3,4091,1302,49,0.65,False,True,True
262,Taste's North Indian Tales,Hyderabad,Fast Food,3.6,3102,449,30,0.4,True,False,True
263,Kitchen's Thai Delight,Kolkata,South Indian,4.4,1906,800,40,0.49,False,True,False
264,Fusion's Biryani House,Lucknow,Italian,2.9,3688,989,36,0.79,True,False,False
265,Garden's Chinese Zone,Lucknow,Japanese,3.7,263,642,44,0.38,False,True,True
266,Garden Kitchen,Mumbai,Chinese,3.7,4710,1417,24,0.47,False,False,False
267,Cafe's Mughlai World,Lucknow,Chinese,3.2,3107,446,46,0.59,True,False,True
268,Golden's Japanese Zone,Jaipur,Mexican,3.4,2097,931,48,0.85,True,True,False
269,Flavors's Fast Food Corner,Chennai,Chinese,4.7,2697,870,48,0.46,True,True,False
270,Flavors's Japanese Tales,Pune,Italian,3.6,1279,654,57,0.88,True,False,True
271,Fusion Lounge,Hyderabad,Mughlai,3.5,1675,912,31,0.64,True,True,True
272,Cafe's Chinese Kitchen,Bangalore,Desserts,4.0,2478,1071,37,0.39,True,True,True
273,Modern Hub,Mumbai,Mexican,3.8,953,1796,23,0.92,False,True,True
274,Heritage's Mughlai Point,Delhi,Fast Food,4.0,2436,740,42,0.44,False,True,True
275,Kitchen Kitchen,Hyderabad,South Indian,3.7,4377,561,35,0.9,True,False,True
276,Palace Eatery,Ahmedabad,South Indian,4.3,638,931,44,0.6,False,True,False
277,Express Bites,Kolkata,Thai,4.0,2666,884,46,0.94,False,True,True
278,Cafe's Fast Food Kitchen,Bangalore,Continental,4.0,976,1504,49,0.6,True,True,True
279,Fusion Hub,Kolkata,Italian,4.1,4152,1303,47,0.33,True,False,False
280,Corner's Cafe Kitchen,Ahmedabad,Italian,4.6,1739,587,51,0.7,True,False,False
281,Garden Lounge,Mumbai,Thai,3.8,3204,1703,53,0.9,True,False,True
282,Urban's Fast Food Bites,Hyderabad,Fast Food,3.2,1099,559,45,0.3,True,True,False
283,Modern Tales,Kolkata,Fast Food,3.0,1439,463,55,0.6,True,True,False
284,Heritage House,Jaipur,Desserts,3.8,357,522,26,0.71,True,False,True
285,Golden's Italian Junction,Chennai,Fast Food,3.9,808,852,45,0.77,True,False,False
286,Kitchen's Mughlai Spot,Delhi,Desserts,4.5,1629,787,46,0.69,True,False,True
287,Cafe's Chinese Story,Delhi,Mughlai,4.1,3088,1496,41,0.42,False,False,False
288,Express Junction,Mumbai,Cafe,4.2,1746,1500,53,0.33,False,False,True
289,House's Biryani House,Kolkata,Fast Food,3.0,1483,738,49,0.94,True,False,False
290,Royal Corner,Delhi,South Indian,3.6,3760,1320,46,0.5,False,False,True
291,Cafe's Italian Eatery,Pune,Chinese,4.7,3586,714,49,0.56,False,False,True
292,Heritage Garden,Hyderabad,Fast Food,4.0,3705,485,48,0.63,True,True,True
293,Urban's Biryani House,Mumbai,South Indian,3.9,1685,1122,27,0.52,True,True,False
294,Kitchen Express,Jaipur,South Indian,3.6,3253,631,37,0.38,True,False,True
295,Garden's Biryani Corner,Jaipur,Mexican,4.0,1658,810,25,0.73,False,False,False
296,Fusion House,Bangalore,Japanese,4.0,3294,1832,33,0.43,False,False,True
297,Classic Bites,Jaipur,Desserts,3.5,4701,711,50,0.73,True,True,False
298,Kitchen's Continental Bites,Lucknow,Biryani,3.8,1271,778,31,0.39,True,False,True
299,Corner's Italian House,Ahmedabad,Chinese,4.2,1441,797,56,0.43,True,True,True
300,Royal's Street Food Tales,Kolkata,Japanese,4.2,4556,1088,48,0.92,False,False,False
301,Golden Story,Mumbai,Italian,2.5,3740,1254,32,0.51,True,False,True
302,Golden's Cafe Lounge,Lucknow,Desserts,4.5,3146,517,35,0.75,True,False,True
303,Fusion's Mexican Hub,Pune,South Indian,4.1,2719,736,48,0.7,True,False,False
304,Modern's Continental Eatery,Ahmedabad,Mexican,3.5,4381,570,57,0.86,False,True,True
305,Flavors's North Indian House,Ahmedabad,Japanese,3.2,4290,1013,48,0.71,True,False,True
306,Golden's South Indian Spot,Delhi,Japanese,3.3,2474,1920,29,0.89,False,True,True
307,House House,Chennai,Continental,4.1,1614,1300,57,0.78,True,False,True
308,Urban's Japanese Eatery,Lucknow,Biryani,3.7,4892,471,50,0.61,True,True,False
309,Spice's Thai Lounge,Kolkata,North Indian,3.0,3514,594,44,0.49,True,False,False
310,Express's Mughlai House,Kolkata,Desserts,3.9,3241,617,43,0.57,True,False,False
311,Taste's Japanese Delight,Kolkata,Desserts,4.7,3304,798,31,0.41,True,False,False
312,Kitchen's Mexican Zone,Jaipur,Mughlai,3.8,4309,410,33,0.82,True,False,True
313,Garden's Chinese Express,Hyderabad,Fast Food,4.7,1210,479,47,0.38,True,True,False
